timestamp,platform,brand,product_name,current_price,original_price,discount_percent,rating,review_count,url
2026-06-08 13:13:23.304710,Croma,boAt,"boAt Nirvana Ion ANC Pro TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual EQ Modes, Crystal Black)",2299.0,13990.0,83.57,,,https://www.croma.com/boat-nirvana-ion-anc-pro-tws-earbuds-with-active-noise-cancellation-ipx4-water-resistant-dual-eq-modes-crystal-black-/p/319481
2026-06-08 13:13:30.700083,Croma,JBL,"JBL Wave Buds 2 TWS Earbuds with Active Noise Cancellation (IP54 Water Resistant, 40 Hours Playtime, Pink)",2499.0,6999.0,64.29,,,https://www.croma.com/jbl-wave-buds-2-tws-earbuds-with-active-noise-cancellation-ip54-water-resistant-40-hours-playtime-pink-/p/313284
2026-06-08 13:13:38.781922,Croma,boAt,"boAt Nirvana Crown PP0031 TWS Earbuds with Hybrid Active Noise Cancellation (IPX4 Water Resistance, ASAP Charge, Blazing Red)",2799.0,9990.0,71.98,,,https://www.croma.com/boat-nirvana-crown-pp0031-tws-earbuds-with-hybrid-active-noise-cancellation-ipx4-water-resistance-asap-charge-blazing-red-/p/319907
2026-06-08 13:13:46.089142,Croma,Noise,"noise Buds VS102 Neo TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Hyper Sync Technology, Carbon Black)",1299.0,3499.0,62.88,,,https://www.croma.com/noise-buds-vs102-neo-tws-earbuds-with-environmental-noise-cancellation-ipx5-water-resistant-hyper-sync-technology-carbon-black-/p/304417
2026-06-08 13:13:53.293653,Croma,boAt,"boAt Airdopes 111v2 TWS Earbuds with Environmental Noise Cancellation (IPX4 Splash & Sweat Resistance, ASAP Charge, Classic Black)",1499.0,4990.0,69.96,,,https://www.croma.com/boat-airdopes-111v2-tws-earbuds-with-environmental-noise-cancellation-ipx4-splash-sweat-resistance-asap-charge-classic-black-/p/317248
2026-06-08 13:14:01.084515,Croma,GOBOULT,"GOBOULT Cyborg TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Blue Ice)",999.0,2999.0,66.69,,,https://www.croma.com/goboult-cyborg-tws-earbuds-with-environmental-noise-cancellation-ipx5-water-resistant-fast-charging-blue-ice-/p/315581
2026-06-08 13:14:08.316904,Croma,Noise,"noise Buds Marine AUDHDPHNBUDSMARINE TWS Earbuds with Active Noise Cancellation (IPX4 Water Resistant, Dual Pairing, Marine Black)",1999.0,3999.0,50.01,,,https://www.croma.com/noise-buds-marine-audhdphnbudsmarine-tws-earbuds-with-active-noise-cancellation-ipx4-water-resistant-dual-pairing-marine-black-/p/317086
2026-06-08 13:14:15.988997,Croma,GOBOULT,"GOBOULT Mustang Torq FGTW196SVR TWS Earbuds with Environmental Noise Cancellation (IPX5 Water Resistant, Fast Charging, Silver)",1799.0,5999.0,70.01,,,https://www.croma.com/goboult-mustang-torq-fgtw196svr-tws-earbuds-with-environmental-noise-cancellation-ipx5-water-resistant-fast-charging-silver-/p/315591
2026-06-08 18:21:31.738919,Flipkart,boAt,"boAt Nirvana Ion ANC Pro w/ Hi-Res Audio with LDAC, ANC, 120H Battery, Multi-Connect Bluetooth",2299.0,,,4.2,10014.0,https://www.flipkart.com/boat-nirvana-ion-anc-pro-w-hi-res-audio-ldac-anc-120h-battery-multi-connect-bluetooth/p/itm10c05fa3e3741?pid=ACCHDMFUQYG9BSXF&lid=LSTACCHDMFUQYG9BSXFBKWBTL&marketplace=FLIPKART&q=boat+nirvana+ion+anc&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_8_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_8_na_na_na&fm=search-autosuggest&iid=23d726b1-06b8-4aee-abe1-db09278938ed.ACCHDMFUQYG9BSXF.SEARCH&ppt=sp&ppn=sp&ssid=d4n4591ai80000001780305029716&qH=3c7e7447f32c6c91&ov_redirect=true&ov_redirect=true
2026-06-08 18:21:39.461453,Flipkart,JBL,"JBL Wave Buds 2 ANC Earbuds with BTv5.3,Multi Connect,Fast Charge,40H runtime,4 Mics Bluetooth",2499.0,,,3.7,228.0,https://www.flipkart.com/jbl-wave-buds-2-anc-earbuds-btv5-3-multi-connect-fast-charge-40h-runtime-4-mics-bluetooth/p/itm92577acbf866f?pid=ACCH5XTGU5PFG9GD&lid=LSTACCH5XTGU5PFG9GDWDSUUD&marketplace=FLIPKART&q=JBL+Wave+Buds2&store=0pm%2Ffcn%2F821&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=84c9a3c2-e1fb-48b1-bce3-77e77d4d211a.ACCH5XTGU5PFG9GD.SEARCH&ppt=sp&ppn=sp&ssid=xurqgnzu0g0000001780305108169&qH=5eb29549b355a3fc&ov_redirect=true&ov_redirect=true
